speaker,label,vowel,NC,voicing,nas_prop
S09,r__E_nd_6___N_B27/s,e,nd,voiced,0.5117247452577018
S09,r__E_nd_6___N_B28/s,e,nd,voiced,0.5782390146038152
S09,r__E_nt_@___N_B10/s,e,nt,voiceless,0.4235537816337507
S09,r__I_nt_____N_B21/s,i,nt,voiceless,0.6105000740281892
S09,r__a_nt_@___N_B24/s,a,nt,voiceless,0.7807108211474547
S09,v__I_nt_6___N_B11/s,i,nt,voiceless,0.8397126783714648
S09,v__a_nt_@___N_B13/s,a,nt,voiceless,0.3462987960795726
S09,z__E_nd_@___N_B09/s,e,nd,voiced,0.6078195398615371
S09,z__E_nt_a___N_B08/s,e,nt,voiceless,0.5226647126273964
S09,z__O_nd_@___N_B12/s,o,nd,voiced,0.1836420293319724
S09,z__O_nd_@___N_B27/s,o,nd,voiced,0.7986938267892315
S09,z__O_nd_@___N_B28/s,o,nd,voiced,0.28721936025614087
S09,z__O_nt_@___N_B13/s,o,nt,voiceless,0.48255056669268476
S09,z__a_nd_@___N_B24/s,a,nd,voiced,0.05447679830126332
S09,z__a_nt_@___N_B09/s,a,nt,voiceless,0.6732001305081077
S10,b__U_nd_@___N_B22/s,u,nd,voiced,0.280582139816315
S10,b__a_nd_@___N_B19/s,a,nd,voiced,0.10505517457551332
S10,b__a_nt_@___N_B20/s,a,nt,voiceless,0.4709212224418675
S10,f__I_nd_@___N_B10/s,i,nd,voiced,0.5285060257435421
S10,l__I_nd_@___N_B12/s,i,nd,voiced,0.19275776145486298
S10,p__E_nt_____N_B22/s,e,nt,voiceless,0.06863937241129764
S10,p__a_nd_a___N_B21/s,a,nd,voiced,0.01562722656973737
S10,p__a_nt_6___N_B10/s,a,nt,voiceless,0.4833283350032667
S10,r__E_nd_6___N_B21/s,e,nd,voiced,0.8596901465736688
S10,r__a_nt_@___N_B10/s,a,nt,voiceless,0.37824629779213337
S10,v__I_nd_@___N_B09/s,i,nd,voiced,0.13883886984610733
S10,v__I_nt_6___N_B20/s,i,nt,voiceless,0.1891974519157166
S10,v__a_nt_@___N_B07/s,a,nt,voiceless,0.28857091034198185
S10,z__E_nd_@___N_B12/s,e,nd,voiced,0.19983833984140875
S10,z__E_nt_a___N_B09/s,e,nt,voiceless,0.5767117780009285
S10,z__O_nd_@___N_B23/s,o,nd,voiced,0.08905987209128559
S10,z__O_nt_@___N_B07/s,o,nt,voiceless,0.3085952623161582
S10,z__a_nd_@___N_B10/s,a,nd,voiced,0.20482272659259104
S10,z__a_nt_@___N_B12/s,a,nt,voiceless,0.4929687757193336
S11,b__U_nd_@___N_B09/s,u,nd,voiced,0.28350395554626595
S11,b__U_nt_@___N_B10/s,u,nt,voiceless,0.18215790891267622
S11,b__a_nd_@___N_B13/s,a,nd,voiced,0.27824090497609993
S11,b__a_nd_@___N_B14/s,a,nd,voiced,0.5290546147219864
S11,b__a_nt_@___N_B11/s,a,nt,voiceless,0.19452801495564423
S11,f__I_nd_@___N_B26/s,i,nd,voiced,0.855953505197477
S11,f__I_nt_@___N_B09/s,i,nt,voiceless,0.20647031080706774
S11,p__E_nt_____N_B09/s,e,nt,voiceless,0.058646001354796015
S11,p__a_nd_a___N_B10/s,a,nd,voiced,0.5639443486852138
S11,p__a_nt_6___N_B26/s,a,nt,voiceless,0.5524468488178829
S11,v__a_nt_@___N_B29/s,a,nt,voiceless,0.6982189753514002
S11,z__E_nd_@___N_B24/s,e,nd,voiced,0.93477389881222706
S11,z__O_nd_@___N_B08/s,o,nd,voiced,0.4425041073927575
S11,z__a_nd_@___N_B26/s,a,nd,voiced,0.8654817925678201
S12,b__U_nd_@___N_B20/s,u,nd,voiced,0.24116806131659616
S12,b__U_nt_@___N_B22/s,u,nt,voiceless,0.4838891789275199
S12,b__a_nd_@___N_B24/s,a,nd,voiced,0.14937365006936865
S12,b__a_nt_@___N_B10/s,a,nt,voiceless,0.3958147235226485
S12,f__I_nd_@___N_B23/s,i,nd,voiced,0.5702457095210195
S12,f__I_nt_@___N_B20/s,i,nt,voiceless,0.09610458085795132
S12,p__E_nt_____N_B20/s,e,nt,voiceless,0.601334865731509
S12,p__a_nd_a___N_B22/s,a,nd,voiced,0.5954550627046088
S12,p__a_nt_6___N_B23/s,a,nt,voiceless,0.21840150194891417
S12,v__I_nt_6___N_B10/s,i,nt,voiceless,0.23812630325298526
S12,v__a_nt_@___N_B12/s,a,nt,voiceless,0.42312406729304625
S12,z__E_nd_@___N_B08/s,e,nd,voiced,0.6728746428153278
S12,z__E_nt_a___N_B07/s,e,nt,voiceless,0.7177688729006859
S12,z__O_nd_@___N_B11/s,o,nd,voiced,0.8197697631966548
S12,z__O_nt_@___N_B12/s,o,nt,voiceless,0.5578278259115174
S12,z__a_nd_@___N_B23/s,a,nd,voiced,0.47025533464126207
S12,z__a_nt_@___N_B08/s,a,nt,voiceless,0.8294018566986918
S13,?__E_nt_@___N_B14/s,e,nt,voiceless,0.46217389439287426
S13,b__U_nd_@___N_B09/s,u,nd,voiced,0.8054912561959076
S13,b__U_nt_@___N_B26/s,u,nt,voiceless,0.42891278756918805
S13,b__a_nd_@___N_B25/s,a,nd,voiced,0.3412836119987473
S13,b__a_nt_@___N_B10/s,a,nt,voiceless,0.569976066979164
S13,f__I_nd_@___N_B12/s,i,nd,voiced,0.4530993058479729
S13,f__I_nt_@___N_B09/s,i,nt,voiceless,0.7854823518242472
S13,l__I_nd_@___N_B11/s,i,nd,voiced,0.5365305443405679
S13,p__E_nt_____N_B09/s,e,nt,voiceless,0.2668639311358174
S13,p__a_nd_a___N_B26/s,a,nd,voiced,0.4785203924319801
S13,p__a_nt_6___N_B12/s,a,nt,voiceless,0.465476548104035
S13,r__E_nd_6___N_B26/s,e,nd,voiced,0.4277195597933979
S13,r__E_nt_@___N_B13/s,e,nt,voiceless,0.9234775013620017
S13,r__I_nt_____N_B09/s,i,nt,voiceless,0.5441591638198272
S13,r__a_nt_@___N_B12/s,a,nt,voiceless,0.6468167859615055
S13,v__I_nd_@___N_B21/s,i,nd,voiced,0.6818821266631211
S13,v__I_nt_6___N_B10/s,i,nt,voiceless,0.6738017790966699
S13,v__a_nt_@___N_B24/s,a,nt,voiceless,0.23578060261313968
S13,z__E_nd_@___N_B11/s,e,nd,voiced,0.2827349598956185
S13,z__E_nt_a___N_B21/s,e,nt,voiceless,0.6042733373163415
S13,z__O_nd_@___N_B23/s,o,nd,voiced,0.4721224129226602
S13,z__O_nt_@___N_B24/s,o,nt,voiceless,0.6079113254565354
S13,z__a_nd_@___N_B12/s,a,nd,voiced,0.6968843734890532
S13,z__a_nt_@___N_B11/s,a,nt,voiceless,0.58165157488829
S14,b__U_nt_@___N_B23/s,u,nt,voiceless,0.16142983314623652
S14,b__a_nd_@___N_B07/s,a,nd,voiced,0.23882366479063477
S14,b__a_nt_@___N_B24/s,a,nt,voiceless,0.6777237561144619
S14,f__I_nt_@___N_B22/s,i,nt,voiceless,0.10030969665631616
S14,p__E_nt_____N_B22/s,e,nt,voiceless,0.04024847916085908
S14,p__a_nd_a___N_B23/s,a,nd,voiced,0.08740229596348832
S14,p__a_nt_6___N_B10/s,a,nt,voiceless,0.3037401535360494
S14,r__E_nd_6___N_B23/s,e,nd,voiced,0.4481769882845881
S14,r__E_nt_@___N_B12/s,e,nt,voiceless,0.4113401250717438
S14,r__I_nt_____N_B22/s,i,nt,voiceless,0.6333233230863099
S14,r__a_nt_@___N_B10/s,a,nt,voiceless,0.33089021163764837
S14,v__I_nd_@___N_B11/s,i,nd,voiced,0.17709429332288848
S14,v__I_nt_6___N_B24/s,i,nt,voiceless,0.9954468663748348
S14,v__a_nt_@___N_B19/s,a,nt,voiceless,0.3496825046296939
